mouse_id,hemisphere,structure_id,lesion,spheres,acronym,full_name
33,1,59,0.0,1,IMD,Intermediodorsal nucleus of the thalamus
33,1,108,0.0,3,chpl,choroid plexus
33,1,303,0.0,2,BLAa,"Basolateral amygdalar nucleus, anterior part"
33,1,342,0.0,1,SI,Substantia innominata
33,1,399,0.0,1,CA1so,"Field CA1, stratum oriens"
33,1,412,0.0,1,ORBl2/3,"Orbital area, lateral part, layer 2/3"
33,1,424,0.0,1,PAA3,"Piriform-amygdalar area, polymorph layer"
33,1,486,0.0,1,CA3so,"Field CA3, stratum oriens"
38,0,870,0.0,1,SUBv-sp,"Subiculum, ventral part, pyramidal layer"
38,1,504,0.0,1,CA3sr,"Field CA3, stratum radiatum"
38,1,785,0.0,1,VMHvl,"Ventromedial hypothalamic nucleus, ventrolateral part"
38,1,1038,0.0,1,SSp-bfd6a,"Primary somatosensory area, barrel field, layer 6a"
41,0,284,0.0,1,PIR2,"Piriform area, pyramidal layer"
41,0,289,0.0,1,TEa5,"Temporal association areas, layer 5"
41,0,430,0.0,1,RSPv2/3,"Retrosplenial area, ventral part, layer 2/3"
41,0,540,0.0,1,PERI1,"Perirhinal area, layer 1"
41,0,664,0.0,1,ENTm3,"Entorhinal area, medial part, dorsal zone, layer 3"
41,1,6,0.0,2,int,internal capsule
41,1,17,0.0,2,SCiw,"Superior colliculus, motor related, intermediate white layer"
41,1,26,0.0,3,SCdg,"Superior colliculus, motor related, deep gray layer"
41,1,26,1.0,6,SCdg,"Superior colliculus, motor related, deep gray layer"
41,1,27,1.0,0,IGL,Intergeniculate leaflet of the lateral geniculate complex
41,1,28,0.0,1,ENTl6a,"Entorhinal area, lateral part, layer 6a"
41,1,33,1.0,5,VISp6a,"Primary visual area, layer 6a"
41,1,38,0.0,6,PVH,Paraventricular hypothalamic nucleus
41,1,50,0.0,1,PRC,Precommissural nucleus
41,1,52,0.0,1,ENTl3,"Entorhinal area, lateral part, layer 3"
41,1,56,1.0,0,ACB,Nucleus accumbens
41,1,92,1.0,0,ENTl4,"Entorhinal area, lateral part, layer 4"
41,1,108,0.0,5,chpl,choroid plexus
41,1,111,0.0,1,AIp,"Agranular insular area, posterior part"
41,1,111,1.0,1,AIp,"Agranular insular area, posterior part"
41,1,121,1.0,1,VISl6b,"Lateral visual area, layer 6b"
41,1,128,0.0,3,MRN,Midbrain reticular nucleus
41,1,128,1.0,2,MRN,Midbrain reticular nucleus
41,1,131,0.0,1,LA,Lateral amygdalar nucleus
41,1,131,1.0,3,LA,Lateral amygdalar nucleus
41,1,148,0.0,1,GU4,"Gustatory areas, layer 4"
41,1,149,0.0,1,PVT,Paraventricular nucleus of the thalamus
41,1,149,1.0,3,PVT,Paraventricular nucleus of the thalamus
41,1,156,1.0,1,AUDd6a,"Dorsal auditory area, layer 6a"
41,1,163,1.0,1,AIp2/3,"Agranular insular area, posterior part, layer 2/3"
41,1,170,0.0,2,LGd,Dorsal part of the lateral geniculate complex
41,1,173,0.0,1,RCH,Retrochiasmatic area
41,1,180,1.0,1,GU2/3,"Gustatory areas, layer 2/3"
41,1,181,0.0,6,RE,Nucleus of reuniens
41,1,186,0.0,1,LH,Lateral habenula
41,1,187,0.0,1,GU5,"Gustatory areas, layer 5"
41,1,194,0.0,2,LHA,Lateral hypothalamic area
41,1,215,0.0,1,APN,Anterior pretectal nucleus
41,1,218,0.0,1,LP,Lateral posterior nucleus of the thalamus
41,1,232,0.0,2,COApl3,"Cortical amygdalar area, posterior part, lateral zone, layer 3"
41,1,233,1.0,26,VISal5,"Anterolateral visual area, layer 5"
41,1,241,0.0,1,PTLp2/3,"Posterior parietal association areas, layer 2/3"
41,1,241,1.0,0,PTLp2/3,"Posterior parietal association areas, layer 2/3"
41,1,243,1.0,0,AUDd6b,"Dorsal auditory area, layer 6b"
41,1,248,1.0,1,COApm2,"Cortical amygdalar area, posterior part, medial zone, layer 2"
41,1,252,0.0,3,AUDd5,"Dorsal auditory area, layer 5"
41,1,252,1.0,5,AUDd5,"Dorsal auditory area, layer 5"
41,1,256,1.0,1,COApm3,"Cortical amygdalar area, posterior part, medial zone, layer 3"
41,1,262,0.0,1,RT,Reticular nucleus of the thalamus
41,1,262,1.0,8,RT,Reticular nucleus of the thalamus
41,1,276,0.0,2,PIR1,"Piriform area, molecular layer"
41,1,284,0.0,4,PIR2,"Piriform area, pyramidal layer"
41,1,284,1.0,2,PIR2,"Piriform area, pyramidal layer"
41,1,289,0.0,1,TEa5,"Temporal association areas, layer 5"
41,1,291,0.0,2,PIR3,"Piriform area, polymorph layer"
41,1,291,1.0,0,PIR3,"Piriform area, polymorph layer"
41,1,303,1.0,0,BLAa,"Basolateral amygdalar nucleus, anterior part"
41,1,308,1.0,1,PTLp6a,"Posterior parietal association areas, layer 6a"
41,1,311,0.0,1,BLAp,"Basolateral amygdalar nucleus, posterior part"
41,1,311,1.0,0,BLAp,"Basolateral amygdalar nucleus, posterior part"
41,1,328,1.0,5,AId2/3,"Agranular insular area, dorsal part, layer 2/3"
41,1,329,1.0,3,SSp-bfd,"Primary somatosensory area, barrel field"
41,1,353,1.0,0,SSp-n,"Primary somatosensory area, nose"
41,1,364,0.0,1,PSTN,Parasubthalamic nucleus
41,1,377,1.0,1,VISpl6a,"Posterolateral visual area, layer 6a"
41,1,381,0.0,1,SNr,"Substantia nigra, reticular part"
41,1,381,1.0,1,SNr,"Substantia nigra, reticular part"
41,1,385,1.0,0,VISp,Primary visual area
41,1,391,0.0,1,CA1slm,"Field CA1, stratum lacunosum-moleculare"
41,1,399,0.0,3,CA1so,"Field CA1, stratum oriens"
41,1,407,1.0,8,CA1sp,"Field CA1, pyramidal layer"
41,1,412,1.0,1,ORBl2/3,"Orbital area, lateral part, layer 2/3"
41,1,415,0.0,3,CA1sr,"Field CA1, stratum radiatum"
41,1,415,1.0,1,CA1sr,"Field CA1, stratum radiatum"
41,1,423,1.0,1,CA2,Field CA2
41,1,427,0.0,1,ECT2/3,Ectorhinal area/Layer 2/3
41,1,427,1.0,0,ECT2/3,Ectorhinal area/Layer 2/3
41,1,430,0.0,2,RSPv2/3,"Retrosplenial area, ventral part, layer 2/3"
41,1,434,0.0,1,RSPd2/3,"Retrosplenial area, dorsal part, layer 2/3"
41,1,446,1.0,1,CA2sp,"Field CA2, pyramidal layer"
41,1,451,1.0,3,BLAv,"Basolateral amygdalar nucleus, ventral part"
41,1,458,0.0,2,OT1,"Olfactory tubercle, molecular layer"
41,1,463,1.0,1,CA3,Field CA3
41,1,465,1.0,0,OT2,"Olfactory tubercle, pyramidal layer"
41,1,466,0.0,1,alv,alveus
41,1,479,0.0,1,CA3slu,"Field CA3, stratum lucidum"
41,1,486,0.0,2,CA3so,"Field CA3, stratum oriens"
41,1,486,1.0,5,CA3so,"Field CA3, stratum oriens"
41,1,487,0.0,1,MEApd-c,"Medial amygdalar nucleus, posterodorsal part, sublayer c"
41,1,491,0.0,1,MM,Medial mammillary nucleus
41,1,494,1.0,1,SCig-a,"Superior colliculus, motor related, intermediate gray layer, sublayer a"
41,1,495,1.0,14,CA3sp,"Field CA3, pyramidal layer"
41,1,503,0.0,1,SCig-b,"Superior colliculus, motor related, intermediate gray layer, sublayer b"
41,1,504,0.0,1,CA3sr,"Field CA3, stratum radiatum"
41,1,510,1.0,1,SSp-ll6b,"Primary somatosensory area, lower limb, layer 6b"
41,1,511,1.0,2,SCig-c,"Superior colliculus, motor related, intermediate gray layer, sublayer c"
41,1,526,0.0,2,ENTm1,"Entorhinal area, medial part, dorsal zone, layer 1"
41,1,540,0.0,2,PERI1,"Perirhinal area, layer 1"
41,1,559,0.0,1,CEAm,"Central amygdalar nucleus, medial part"
41,1,579,0.0,1,ec,external capsule
41,1,583,0.0,1,CLA,Claustrum
41,1,593,0.0,2,VISp1,"Primary visual area, layer 1"
41,1,600,1.0,1,AUDd2/3,"Dorsal auditory area, layer 2/3"
41,1,601,1.0,1,VISal6a,"Anterolateral visual area, layer 6a"
41,1,603,0.0,1,fi,fimbria
41,1,614,0.0,4,TU,Tuberal nucleus
41,1,617,0.0,1,MDc,"Mediodorsal nucleus of the thalamus, central part"
41,1,626,1.0,3,MDl,"Mediodorsal nucleus of the thalamus, lateral part"
41,1,629,1.0,11,VAL,Ventral anterior-lateral complex of the thalamus
41,1,636,0.0,3,MDm,"Mediodorsal nucleus of the thalamus, medial part"
41,1,638,1.0,2,GU6a,"Gustatory areas, layer 6a"
41,1,648,0.0,2,MOp5,"Primary motor area, Layer 5"
41,1,648,1.0,3,MOp5,"Primary motor area, Layer 5"
41,1,672,0.0,3,CP,Caudoputamen
41,1,672,1.0,20,CP,Caudoputamen
41,1,677,1.0,1,VISC,Visceral area
41,1,678,0.0,1,AUDd4,"Dorsal auditory area, layer 4"
41,1,685,1.0,1,VM,Ventral medial nucleus of the thalamus
41,1,687,0.0,1,RSPv5,"Retrosplenial area, ventral part, layer 5"
41,1,692,0.0,1,PERI5,"Perirhinal area, layer 5"
41,1,692,1.0,3,PERI5,"Perirhinal area, layer 5"
41,1,694,1.0,2,AIv2/3,"Agranular insular area, ventral part, layer 2/3"
41,1,700,1.0,2,AHNa,"Anterior hypothalamic nucleus, anterior part"
41,1,718,0.0,1,VPL,Ventral posterolateral nucleus of the thalamus
41,1,718,1.0,2,VPL,Ventral posterolateral nucleus of the thalamus
41,1,729,1.0,8,TEa6a,"Temporal association areas, layer 6a"
41,1,733,0.0,8,VPM,Ventral posteromedial nucleus of the thalamus
41,1,733,1.0,11,VPM,Ventral posteromedial nucleus of the thalamus
41,1,749,0.0,2,VTA,Ventral tegmental area
41,1,764,1.0,0,ENTl2b,"Entorhinal area, lateral part, layer 2b"
41,1,776,1.0,1,cc,corpus callosum
41,1,785,0.0,2,VMHvl,"Ventromedial hypothalamic nucleus, ventrolateral part"
41,1,795,0.0,5,PAG,Periaqueductal gray
41,1,795,1.0,0,PAG,Periaqueductal gray
41,1,797,0.0,3,ZI,Zona incerta
41,1,797,1.0,4,ZI,Zona incerta
41,1,800,1.0,1,AIv5,"Agranular insular area, ventral part, layer 5"
41,1,806,1.0,0,SSs2/3,"Supplemental somatosensory area, layer 2/3"
41,1,821,1.0,0,VISp2/3,"Primary visual area, layer 2/3"
41,1,828,0.0,2,ICe,"Inferior colliculus, external nucleus"
41,1,828,1.0,5,ICe,"Inferior colliculus, external nucleus"
41,1,838,0.0,1,SSp-n2/3,"Primary somatosensory area, nose, layer 2/3"
41,1,842,0.0,1,SCsg,"Superior colliculus, superficial gray layer"
41,1,844,0.0,1,MOp6a,"Primary motor area, Layer 6a"
41,1,847,1.0,1,AUDp5,"Primary auditory area, layer 5"
41,1,854,0.0,1,SSp-ul2/3,"Primary somatosensory area, upper limb, layer 2/3"
41,1,862,1.0,1,SSs6a,"Supplemental somatosensory area, layer 6a"
41,1,870,1.0,2,SUBv-sp,"Subiculum, ventral part, pyramidal layer"
41,1,888,1.0,10,PERI2/3,"Perirhinal area, layer 2/3"
41,1,889,0.0,2,SSp-n6a,"Primary somatosensory area, nose, layer 6a"
41,1,895,1.0,1,ECT,Ectorhinal area
41,1,907,0.0,2,PCN,Paracentral nucleus
41,1,918,1.0,4,ENTl,"Entorhinal area, lateral part"
41,1,922,1.0,2,PERI,Perirhinal area
41,1,924,1.0,2,cpd,cerebal peduncle
41,1,929,1.0,1,SSp-n6b,"Primary somatosensory area, nose, layer 6b"
41,1,930,0.0,1,PF,Parafascicular nucleus
41,1,943,0.0,1,MOp2/3,"Primary motor area, Layer 2/3"
41,1,945,1.0,0,SSp-ul6a,"Primary somatosensory area, upper limb, layer 6a"
41,1,952,1.0,1,EPd,"Endopiriform nucleus, dorsal part"
41,1,959,0.0,1,AUDv1,"Ventral auditory area, layer 1"
41,1,965,1.0,3,RSPagl2/3,"Retrosplenial area, lateral agranular part, layer 2/3"
